version,baseline,commit,measurement_index,energy_cores_consumption,energy_pkg_consumption
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,9,0.73,0.74
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,10,0.58,0.60
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,11,0.60,0.59
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,12,0.58,0.60
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,13,0.58,0.60
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,14,0.58,0.60
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,15,0.58,0.60
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,16,0.58,0.60
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,17,0.58,0.60
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,18,0.58,0.60
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,19,0.58,0.60
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,20,0.58,0.60
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,21,0.58,0.60
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,22,0.58,0.60
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,23,0.58,0.60
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,24,0.58,0.60
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,25,0.59,0.61
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,26,0.59,0.61
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,27,0.59,0.61
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,28,0.59,0.61
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,29,0.59,0.61
refactored,false,759eba45b547c7fae89f09ab9059399aebc89da9,30,0.59,0.61
